restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
ggyXy8tnmWHFh8Wn1feKBw,Russian Tea Time,"Russian Tea Time - The Loop - Chicago, IL",236,4,"Food, Coffee & Tea, Restaurants, Russian, METADATA","77 E Adams St (between Dearborn St & Wabash Ave) Chicago, IL 60603 Neighborhood: The Loop","Mon-Thu, Sun 11 am - 9 pm Fri-Sat 11 am - 12 am",No,Yes,Street,Casual,Yes,$$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Quiet,Classy,No,No,Yes,http://www.russianteatime.com,(312) 360-0000,23
i2LY-w3dNW5Zzcm4w6XHPQ,Rosebud Prime,"Rosebud Prime - The Loop - Chicago, IL",89,4,"Restaurants, Steakhouses, METADATA","1 S Dearborn St (between Madison St & Monroe St) Chicago, IL 60605 Neighborhood: The Loop",Mon-Fri 11 am - 11 pm Sat 3 pm - 11 pm Sun 3 pm - 9 pm,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,,Yes,No,Yes,http://www.rosebudrestaurants.com/,(312) 384-1900,17
JPEoaXlg-f9eVbxQ9BVNrQ,Ricobene's,"Ricobene's - CLOSED - The Loop - Chicago, IL",8,5,"Restaurants, METADATA","60 E. Lake Street (between Dearborn St & Garland Ct) Chicago, IL 60601 Neighborhood: The Loop",,,,,Casual,No,$,No,No,Yes,No,No,,,,,,,,,,(312) 346-1446,0
ly14yQJCHeKwoo4QDfa5vg,Rhapsody,"Rhapsody - The Loop - Chicago, IL",91,3,"Restaurants, American (New), METADATA","65 E Adams St (between Clark St & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Fri 11 am - 9:30 pm Sat-Sun 4:30 pm - 9:30 pm,No,Yes,,Dressy,Yes,$$$,Yes,,,Yes,Yes,No,Dinner,,Average,"Classy, Upscale",No,,,http://www.rhapsodychicago.com,(312) 786-9911,6
mePTM5r8gRE9FXTbRPnhMA,Rivers,"Rivers - The Loop - Chicago, IL",142,4,"Restaurants, American (New), METADATA","30 S Wacker Dr (between Madison St & State St) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 11 am - 2:30 pm Mon-Fri 5 pm - 8:30 pm Sat 5 pm - 7:30 pm,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,"Lunch, Dinner",Full Bar,Average,Casual,Yes,No,Yes,http://www.riversrestaurant.com,(312) 559-1515,17
nLV7GQhmAKreEZypE7uIxg,Rosebud Restaurent,"Rosebud Restaurent - The Loop - Chicago, IL",77,4,"Restaurants, Italian, METADATA","70 W Madison St (between Michigan Ave & Garland Ct) Chicago, IL 60602 Neighborhood: The Loop",Mon-Fri 11 am - 9 pm Sat 4 pm - 9 pm,No,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,No,Free,"Lunch, Dinner",Full Bar,Very Loud,,Yes,,Yes,http://rosebudrestaurants.com/restâ€¦,(312) 332-9500,9
nX0eoQLMANnKZAQbB_1vxw,Roti Mediterranean Grill,"Roti Mediterranean Grill - Near West Side - Chicago, IL",178,4,"Restaurants, Mediterranean, METADATA","10 S Riverside Plz (between Washington Blvd & Madison St) Chicago, IL 60606 Neighborhood: Near West Side",Mon-Fri 7 am - 4 pm,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,Yes,No,Lunch,No,Average,Casual,No,Yes,Yes,http://roti.com,(312) 775-7000,22
P0jKqaSzjQ2RtVEyWYoG-Q,Robinson's Ribs,"Robinson's Ribs - CLOSED - The Loop - Chicago, IL",3,3,"Restaurants, METADATA","100 W Randolph St (between Beaubien Ct & Michigan Ave) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 807-3870,0
PidZ26sboIS3-6CtUpNskA,Raw,"Raw - Near West Side - Chicago, IL",94,5,"Restaurants, Vegan, Vegetarian, METADATA","Chicago French Market 131 N Clinton Chicago, IL 60606 Neighborhood: Near West Side",Mon-Fri 7 am - 7:30 pm Sat 8:30 am - 6 pm,Yes,Yes,Garage,Casual,No,$$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,,Yes,http://www.chicagorawfood.com,(312) 831-2729,17
Prt0N_cokvWKoowVIzMHCQ,ROOF,"ROOF - The Loop - Chicago, IL",442,3,"Nightlife, Bars, Lounges, Restaurants, American (New), METADATA","theWit Hotel 201 N State St Chicago, IL 60601 Neighborhood: The Loop",Mon-Tue 4 pm - 2 am Wed-Fri 2 pm - 2 am Sat 2 pm - 3 am,No,Yes,Valet,Dressy,Yes,$$$,No,No,No,Yes,Yes,No,Late Night,Full Bar,Very Loud,Trendy,No,No,Yes,http://www.roofonthewit.com,(312) 239-9501,49
R99YRMmzHUVjHwzfbk6xhg,Ronny's III,"Ronny's III - The Loop - Chicago, IL",4,3,"Restaurants, American (Traditional), METADATA","110 W Randolph St (between Beaubien Ct & Michigan Ave) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 939-6010,0
TMrvzkl2V-WuljuVIUw38A,Rosie's Cafe & Catering,"Rosie's Cafe & Catering - Near West Side - Chicago, IL",5,4,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, METADATA","111 N Canal St (between Monroe St & Washington Blvd) Chicago, IL 60606 Neighborhood: Near West Side",Mon-Fri 6:30 am - 3 pm,Yes,,,Casual,Yes,$,,,,No,No,,,,,,Yes,,,http://www.rosiesonline.com,(312) 258-8321,20
U7ecpJTBwk1-pP0oWvRxfg,Rivers To Go,"Rivers To Go - The Loop - Chicago, IL",10,4,"Restaurants, Delis, Sandwiches, METADATA","30 S Wacker Dr (between Madison St & State St) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 7 am - 3 pm,Yes,Yes,,Casual,No,$,No,No,Yes,No,No,No,,No,,,,No,Yes,http://www.riversrestaurant.com/toâ€¦,(312) 559-1515,1
vnPbptTIVhqwrGh45aMykw,Roma Pizza,"Roma Pizza - The Loop - Chicago, IL",8,3,"Restaurants, Pizza, METADATA","105 W Madison St (between La Salle St & Clark St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Fri 9:30 am - 9:30 pm Sat 11 am - 10:30 pm,Yes,Yes,,Casual,No,$,No,Yes,Yes,No,No,,,No,,,,,,http://www.romapizzaandpasta.com/,(312) 456-0040,4
whjphU0MQGZKq3iiK8q3nA,Rosebud Express,"Rosebud Express - The Loop - Chicago, IL",12,5,"Restaurants, Italian, METADATA","70 W Madsion St Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,,No,No,Yes,Yes,,,,No,,,,,,http://rosebudrestaurants.com/restâ€¦,(312) 332-9500,2
-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,"Terzo Piano - The Loop - Chicago, IL",143,3,"Restaurants, Italian, METADATA","159 E Monroe Dr Chicago, IL 60604 Neighborhood: The Loop","Mon-Wed, Fri-Sun 11 am - 3 pm Thu 11 am - 9 pm",No,Yes,Garage,Casual,Yes,$$$,Yes,No,No,Yes,Yes,No,Lunch,Full Bar,Average,Trendy,No,No,Yes,http://www.terzopianochicago.com,(312) 443-8650,18
03Rr6CHAjtJuoG_im3xg8w,Tesori,"Tesori - The Loop - Chicago, IL",6,4,"Restaurants, Italian, Mediterranean, METADATA","65 E Adams St (between Wabash Ave & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Sun 11 am - 9:30 pm,No,Yes,,Casual,Yes,$$$$,Yes,,,,,,,Full Bar,Average,,Yes,,,http://www.tesorichicago.com/,(312) 786-9911,2
0yP87uAYtYR4KpumVdAFEw,The Grille on State,"The Grille on State - CLOSED - South Loop - Chicago, IL",4,2,"Restaurants, American (New), METADATA","823 S State St (between 8th St & Polk St) Chicago, IL 60605 Neighborhood: South Loop",,,,,,,,,,,,,,,,,,,,,,(312) 922-0900,0
2ZURzjCMKBBClbafMY0eHw,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",16,3,"Restaurants, Japanese, METADATA","111 E Wacker Dr (between Beaubien Ct & Lower Wacker Dr) Chicago, IL 60601 Neighborhood: The Loop",,No,Yes,,Casual,,$,No,No,Yes,No,No,,,No,,,,,,http://tokyolunchboxncatering.com,(312) 938-4450,1
47CFeWqm4WxQZVKWNdLxbw,The Big Downtown,"The Big Downtown - CLOSED - The Loop - Chicago, IL",14,4,"Restaurants, Breakfast & Brunch, Nightlife, Bars, American (Traditional), METADATA","124 S Wabash Ave Chicago, IL 60603 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,Yes,,(312) 917-7399,0
4hEWyzVZ4gKdAoBpsd7Rrw,The Italian Village Restaurants,"The Italian Village Restaurants - The Loop - Chicago, IL",328,3,"Restaurants, Italian, Nightlife, Bars, METADATA","71 W Monroe St (between Wabash Ave & Michigan Ave) Chicago, IL 60603 Neighborhood: The Loop",Mon-Thu 11 am - 12 am Fri-Sat 11 am - 1 am Sun 12 pm - 12 am,Yes,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Intimate",No,Yes,Yes,http://www.italianvillage-chicago.â€¦,(312) 332-7005,88
4yihQrVTYRRuRAA4-joVeQ,Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",41,2,"Restaurants, Mexican, Fast Food, METADATA","23 E Adams St (between State St & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,,No,,Yes,,(312) 939-2877,10
6QRmthF8jBUfSMDtx529SA,The Garden Restaurant,"The Garden Restaurant - The Loop - Chicago, IL",16,4,"Restaurants, American (New), METADATA","111 S Michigan Ave The Art Institute of Chicago (between Adams St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",,Yes,Yes,Garage,Casual,Yes,$$,Yes,No,No,Yes,Yes,,Lunch,Full Bar,Loud,,,,Yes,http://www.artic.edu/aic/visitor_iâ€¦,(312) 553-9675,2
7JmUWo4BDdUm3BQbp3e5tQ,The Vault,"The Vault - The Loop - Chicago, IL",11,4,"Restaurants, American (New), METADATA","135 S La Salle St (between Adams St & Marble Pl) Chicago, IL 60603 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,No,No,"Lunch, Breakfast",No,Average,,No,,Yes,,(312) 332-3325,2
7tWRpnfuqXRnG9m6oU2CSw,Thai Spoon,"Thai Spoon - South Loop - Chicago, IL",117,3,"Restaurants, Thai, METADATA","601 S Wabash Ave (between Harrison St & Balbo Ave) Chicago, IL 60605 Neighborhood: South Loop",Mon-Fri 10:30 am - 10 pm Sat 11:30 am - 10 pm Sun 12 pm - 9 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,No,"Lunch, Dinner",Full Bar,Average,Casual,Yes,No,Yes,http://www.thaispoonsushi.com,(312) 427-9470,10
AaVl-ga8xOWAUCDGSYjdgA,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",44,4,"Restaurants, Japanese, Sushi Bars, METADATA","60 E Jackson Blvd (between Michigan Ave & Wabash Ave) Chicago, IL 60604 Neighborhood: The Loop",Mon-Fri 7 am - 4 pm,Yes,Yes,Street,Casual,No,$,No,No,Yes,No,No,,Lunch,No,Average,,,Yes,Yes,http://tokyolunchboxncatering.com,(312) 360-1555,2
Aq3ED5k8GzRyNELKBI85nA,Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",12,3,"Restaurants, Mexican, METADATA","151 E Randolph St Millenium Park Train Station Concourse Chicago, IL 60602 Neighborhood: The Loop",,Yes,Yes,,,,,No,,Yes,No,No,,,No,,,,,,http://tacofresco.com,,1
ArT0vbIky7FvWFpPoIerEw,The Berghoff Restaurant,"The Berghoff Restaurant - The Loop - Chicago, IL",252,4,"Nightlife, Bars, Restaurants, German, METADATA","17 W Adams St (between State St & Dearborn St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Thu 11 am - 9 pm Fri-Sat 11:30 am - 9 pm,Yes,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,"Lunch, Dinner",Full Bar,Average,Casual,Yes,Yes,Yes,http://www.theberghoff.com,(312) 427-3170,25
Ay1HGCfMznzki1Xg1IePLA,The Green at Grant Park,"The Green at Grant Park - CLOSED - The Loop - Chicago, IL",52,4,"Active Life, Parks, Restaurants, Event Planning & Services, METADATA","352 E Monroe St (between Columbus Dr & United States Highway 41) Chicago, IL 60603 Neighborhood: The Loop",,Yes,Yes,Garage,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,Lunch,Beer & Wine Only,Average,,,No,Yes,http://www.thegreenonline.com,(312) 540-9013,6
BEB7eYric_ab6KVGseD1WA,Trattoria Caterina,"Trattoria Caterina - Printer's Row - Chicago, IL",52,3,"Restaurants, Italian, METADATA","616 S Dearborn St (between Polk St & Harrison St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,,Dinner,No,Average,,Yes,,Yes,,(312) 939-7606,8
cn5Ulj595eWRUbQ_y00qeQ,Toro Sushi Express,"Toro Sushi Express - The Loop - Chicago, IL",28,4,"Restaurants, Sushi Bars, METADATA","201 N Clark St (between Haddock Pl & Lake St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,,,,,Yes,,(312) 781-6991,0
d3vB9xT89ZVfSS6_n-8BWA,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",105,4,"Restaurants, Sushi Bars, Japanese, Event Planning & Services, Caterers, METADATA","37 N Wells St Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 7 am - 5 pm,No,Yes,Street,Casual,No,$,No,No,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://tokyolunchboxncatering.com,(312) 551-0797,2
dKrooQMq0gwDtrvAzfDlog,The Zodiac Room,"The Zodiac Room - Near North Side - Chicago, IL",20,4,"Restaurants, American (Traditional), METADATA","737 N Michigan Ave 4th Fl Chicago, IL 60601 Neighborhoods: Near North Side, River East",,No,,,,No,$$,,,,,No,,,,Quiet,,,,Yes,http://www.neimanmarcus.com/store/â€¦,(312) 642-5900,1
DNy0sRymG0_nN-9KjU2FFQ,Townhouse Restaurant & Wine Bar,"Townhouse Restaurant & Wine Bar - The Loop - Chicago, IL",69,3,"Restaurants, American (New), Nightlife, Bars, Wine Bars, METADATA","111 S Wacker Dr (between Monroe St & Washington St) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 11 am - 9 pm,No,Yes,,Casual,Yes,$$,Yes,No,No,Yes,Yes,,Lunch,Full Bar,Average,Upscale,Yes,,Yes,http://www.restaurants-america.com,(312) 948-8240,9
dy8tzkfSnDUJhaAHze7ROQ,Tamalefoodie,"Tamalefoodie - Near West Side - Chicago, IL",7,4,"Restaurants, Food Stands, Food, Specialty Food, Ethnic Food, METADATA","324 N Leavitt Chicago, IL 60606 Neighborhood: Near West Side",Mon-Fri 11 am - 10 pm,No,Yes,,Casual,No,$,No,Yes,Yes,No,Yes,No,,No,,,No,No,Yes,http://www.tamalefoodie.com,(312) 577-7014,0
DZhzxc_NReUEnVx0fz_iuw,The Florentine,"The Florentine - The Loop - Chicago, IL",71,4,"Restaurants, Italian, METADATA","JW Marriott Chicago 151 W Adams St Chicago, IL 60604 Neighborhood: The Loop","Mon-Thu, Sun 6:30 am - 10 pm Fri-Sat 6:30 am - 11 pm",No,Yes,"Street, Valet",Dressy,Yes,$$$,Yes,No,Yes,Yes,No,No,"Lunch, Dinner",Full Bar,Average,Classy,Yes,No,Yes,http://www.the-florentine.net/,(312) 660-8866,9
ehPIpB_hdyUboTLKsdx0Zw,The L Cafe,"The L Cafe - The Loop - Chicago, IL",11,3,"Restaurants, Breakfast & Brunch, Diners, Fast Food, METADATA","424 S Wabash Ave (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",Mon-Fri 8 am - 5 pm Sat-Sun 8 am - 2 pm,,Yes,,,Yes,$,,,,,,Free,,No,Average,,Yes,,,http://www.tlcthelcafe.com,(312) 880-0818,2
eouoOadI4bWZqBRxWhok-w,Taza,"Taza - The Loop - Chicago, IL",346,5,"Restaurants, Middle Eastern, Mediterranean, METADATA","176 N Franklin St (between Monroe St & Couch Pl) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 8 am - 4 pm,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,Yes,http://www.tazacafechicago.com/,(312) 201-9885,33
eTjl8rHLGWWhc65cFjcDLA,Trattoria No. 10,"Trattoria No. 10 - The Loop - Chicago, IL",210,4,"Restaurants, Italian, METADATA","10 N Dearborn St (between Calhoun Pl & Madison St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Thu 11:30 am - 9 pm Fri 11:30 am - 10 pm Sat 5 pm - 10 pm,No,Yes,Valet,Dressy,Yes,$$$,Yes,No,No,Yes,No,No,Dinner,Full Bar,Average,"Romantic, Classy",No,,Yes,http://www.trattoriaten.com,(312) 984-1718,23
F73xWeDRwTl7HnyTt-4Ssw,The Walnut Room,"The Walnut Room - The Loop - Chicago, IL",150,3,"Restaurants, American (Traditional), METADATA","Marshall Field's 111 N State St Chicago, IL 60602",,Yes,Yes,Garage,Casual,Yes,$$,Yes,No,No,Yes,No,No,Lunch,Full Bar,Average,Classy,No,No,Yes,,(312) 781-3125,26
FMwj-CNNLCgJr39nUjNqrw,The Metropolitan Club,"The Metropolitan Club - The Loop - Chicago, IL",50,4,"Restaurants, American (New), Event Planning & Services, Venues & Event Spaces, METADATA","233 S Wacker Dr 66th & 67th Fl (between Adams St & Wells St) Chicago, IL 60606 Neighborhood: The Loop",Mon-Fri 6:30 am - 10 pm Sat 5 pm - 10 pm,No,Yes,Garage,Dressy,Yes,$$$,,No,No,Yes,No,Free,Dinner,Full Bar,Average,"Classy, Upscale",Yes,Yes,Yes,http://www.metclubchicago.com,(312) 876-3200,4
frS8eDV3w7dmi4zMzUr7Ig,The Scout,"The Scout - Near Southside - Chicago, IL",175,3,"Nightlife, Bars, Sports Bars, Restaurants, American (Traditional), American (New), METADATA","1301 S Wabash Ave (between 13th St & 14th St) Chicago, IL 60605 Neighborhood: Near Southside",Mon-Fri 5 pm - 2 am Sat 10 am - 3 am Sun 10 am - 2 am,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,No,No,Dinner,Full Bar,Loud,"Trendy, Casual",Yes,No,,http://www.thescoutchicago.com/,(312) 705-0595,45
fYZIWZRfXZxAasnvsihw4A,The India Grill,"The India Grill - CLOSED - South Loop - Chicago, IL",44,2,"Restaurants, Indian, Pakistani, METADATA","1112 S Wabash Ave (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop",,Yes,Yes,Street,Casual,Yes,$$,,,Yes,Yes,No,,"Lunch, Dinner",Full Bar,,,,,Yes,,(312) 662-1111,42
GZdevx3pW3QFRgIZm-KtUA,The Chicago Firehouse Restaurant,"The Chicago Firehouse Restaurant - Near Southside - Chicago, IL",233,4,"Restaurants, Steakhouses, METADATA","1401 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",Mon-Thu 11:30 am - 10 pm Fri 11:30 am - 10:30 pm Sat 10:30 am - 10:30 pm Sun 10:30 am - 9 pm,No,Yes,"Street, Valet",Dressy,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Classy,Yes,No,Yes,http://chicagofirehouse.com,(312) 786-1401,27
hiJMiKoyP24G-0oILI8d3w,Tavern At The Park,"Tavern At The Park - The Loop - Chicago, IL",218,4,"Restaurants, American (New), METADATA","130 E Randolph St (between Beaubien Ct & Stetson Ave) Chicago, IL 60601 Neighborhood: The Loop",Mon-Thu 11 am - 10 pm Fri 11 am - 10:30 pm Sat 12 pm - 10:30 pm,No,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,Classy,Yes,Yes,Yes,http://www.tavernatthepark.com,(312) 552-0070,27
HVjgUltrMLAivfhLhcPHhA,The Grille on Jackson,"The Grille on Jackson - The Loop - Chicago, IL",3,2,"Restaurants, American (Traditional), METADATA","200 W Jackson (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",,,Yes,,Casual,,,No,,,No,No,,,,,,,,,,(312) 922-1200,2
hW4FtwtCQUI084rEE67VIQ,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",2,2,"Restaurants, Japanese, Sushi Bars, METADATA","100 W Randolph St (between Michigan Ave & Beaubien Ct) Chicago, IL 60601 Neighborhood: The Loop",Mon-Thu 7 am - 5 pm Fri 7 am - 4 pm,,,,,,,,,,,,,,,,,,,,http://tokyolunchboxncatering.com,(312) 558-1117,0
i1hvnxiwBa8hvG-tPH-FWQ,Tokyo Lunchbox,"Tokyo Lunchbox - The Loop - Chicago, IL",21,3,"Restaurants, Japanese, METADATA","225 N. Michigan Avenue (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,,Casual,No,$,No,No,Yes,No,No,No,Lunch,No,Average,,No,Yes,No,,,3
I7ByrR9WyNO6U1GQR0dmYg,Trader Vics,"Trader Vics - CLOSED - The Loop - Chicago, IL",8,5,"Restaurants, METADATA","17 East Monroe (between State St & Wabash Ave) Chicago, IL 60603 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 917-7317,1
I9-odfGhqygS_wRZH6Qvcg,Tahini Mediterranean Cafe,"Tahini Mediterranean Cafe - CLOSED - The Loop - Chicago, IL",41,3,"Restaurants, Mediterranean, METADATA","60 E Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,No,Lunch,No,Average,Casual,No,,,,(312) 386-1300,7
Ih_gfTmnqf_Rl3Yzr0sJAQ,Triple 1 Chinese Restaurant,"Triple 1 Chinese Restaurant - CLOSED - The Loop - Chicago, IL",70,4,"Restaurants, Chinese, METADATA","177 N State St Ste 200 (between Benton Pl & Couch Pl) Chicago, IL 60601 Neighborhood: The Loop",,Yes,No,Street,Casual,Yes,$$,No,No,No,No,Yes,No,"Lunch, Dinner",No,Quiet,"Divey, Casual",,Yes,No,,(312) 332-8886,16
