"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-06-30",,,,,"90",",,0","72",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-01",,,,,"78",",,0","63",",,0","63",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-02",,,,,"70",",,0","63",",,0","67",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-03",,,,,"84",",,0","65",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-04",,,,,"87",",,0","70",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-05",,,,,"81",",,0","67",",,0","67",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-06",,,,,"76",",,0","66",",,0","69",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-07",,,,,"76",",,0","69",",,0","70",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-08",,,,,"77",",,0","69",",,0","69",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-09",,,,,"84",",,0","68",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-10",,,,,"84",",,0","71",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-11",,,,,"82",",,0","72",",,0","77",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-12",,,,,"79",",,0","72",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-13",,,,,"80",",,0","72",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-14",,,,,"79",",,0","74",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-15",,,,,"80",",,0","74",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-16",,,,,"81",",,0","74",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-17",,,,,"94",",,0","75",",,0","81",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-18",,,,,"91",",,0","78",",,0","79",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-19",,,,,"86",",,0","74",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-20",,,,,"91",",,0","74",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-21",,,,,"86",",,0","73",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-22",,,,,"80",",,0","72",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-23",,,,,"85",",,0","73",",,0","79",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-24",,,,,"102",",,0","79",",,0","89",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-25",,,,,"89",",,0","75",",,0","85",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-26",,,,,"87",",,0","68",",,0","70",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-27",,,,,"73",",,0","66",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-28",,,,,"79",",,0","64",",,0","70",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-29",,,,,"83",",,0","66",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-30",,,,,"80",",,0","70",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-07-31",,,,,"89",",,0","73",",,0","79",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-01",,,,,"88",",,0","75",",,0","80",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-02",,,,,"91",",,0","76",",,0","81",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-03",,,,,"92",",,0","78",",,0","83",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-04",,,,,"89",",,0","78",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-05",,,,,"80",",,0","73",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-06",,,,,"80",",,0","72",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-07",,,,,"85",",,0","71",",,0","76",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-08",,,,,"87",",,0","75",",,0","80",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-09",,,,,"94",",,0","74",",,0","82",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-10",,,,,"84",",,0","74",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-11",,,,,"77",",,0","70",",,0","77",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-12",,,,,"86",",,0","74",",,0","76",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-13",,,,,"76",",,0","67",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-14",,,,,"76",",,0","69",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-15",,,,,"79",",,0","68",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-16",,,,,"84",",,0","71",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-17",,,,,"82",",,0","70",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-18",,,,,"84",",,0","70",",,0","80",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-19",,,,,"84",",,0","72",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-20",,,,,"87",",,0","71",",,0","76",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-21",,,,,"79",",,0","70",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-22",,,,,"72",",,0","68",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-23",,,,,"72",",,0","67",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-24",,,,,"75",",,0","66",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-25",,,,,"78",",,0","68",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-26",,,,,"81",",,0","70",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-27",,,,,"82",",,0","72",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-28",,,,,"81",",,0","70",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-29",,,,,"79",",,0","71",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-30",,,,,"79",",,0","70",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-08-31",,,,,"76",",,0","67",",,0","61",",I,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-01",,,,,"81",",,0","70",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-02",,,,,"83",",,0","66",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-03",,,,,"76",",,0","66",",,0","69",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-04",,,,,"77",",,0","67",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-05",,,,,"82",",,0","67",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-06",,,,,"83",",,0","70",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-07",,,,,"84",",,0","72",",,0","72",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-08",,,,,"77",",,0","71",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-09",,,,,"82",",,0","70",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-10",,,,,"85",",,0","71",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-11",,,,,"90",",,0","75",",,0","79",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-12",,,,,"90",",,0","73",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-13",,,,,"92",",,0","74",",,0","78",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-14",,,,,"78",",,0","67",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-15",,,,,"69",",,0","62",",,0","63",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-16",,,,,"69",",,0","51",",,0","63",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-17",,,,,"74",",,0","59",",,0","67",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-18",,,,,"82",",,0","63",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-19",,,,,"84",",,0","67",",,0","71",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-20",,,,,"78",",,0","67",",,0","70",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-21",,,,,"86",",,0","66",",,0","73",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-22",,,,,"88",",,0","67",",,0","67",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-23",,,,,"67",",,0","63",",,0","66",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-24",,,,,"71",",,0","63",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-25",,,,,"74",",,0","67",",,0","69",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-26",,,,,"69",",,0","61",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-27",,,,,"74",",,0","57",",I,0","54",",I,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-28",,,,,"74",",,0","53",",,0","53",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-29",,,,,"63",",,0","48",",,0","54",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-09-30",,,,,"72",",,0","50",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-01",,,,,"79",",,0","56",",,0","68",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-02",,,,,"78",",,0","61",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-03",,,,,"85",",,0","71",",,0","75",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-04",,,,,"88",",,0","71",",,0","77",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-05",,,,,"84",",,0","71",",,0","74",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-06",,,,,"74",",,0","49",",,0","49",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-07",,,,,"54",",,0","47",",,0","51",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-08",,,,,"53",",,0","50",",,0","53",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-09",,,,,"59",",,0","51",",,0","57",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-10",,,,,"62",",,0","54",",,0","60",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-11",,,,,"60",",,0","57",",,0","58",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-12",,,,,"61",",,0","56",",,0","56",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-13",,,,,"68",",,0","55",",,0","62",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-14",,,,,"76",",,0","56",",,0","66",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-15",,,,,"68",",,0","55",",,0","57",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-16",,,,,"59",",,0","50",",,0","52",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-17",,,,,"75",",,0","50",",,0","62",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-18",,,,,"67",",,0","54",",,0","64",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-19",,,,,"65",",,0","52",",,0","55",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-20",,,,,"55",",,0","52",",,0","53",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-21",,,,,"57",",,0","52",",,0","52",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-22",,,,,"54",",,0","43",",,0","43",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-23",,,,,"52",",,0","39",",,0","44",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-24",,,,,"50",",,0","43",",,0","45",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-25",,,,,"52",",,0","43",",,0","47",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-26",,,,,"51",",,0","42",",,0","46",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-27",,,,,"52",",,0","45",",,0","45",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-28",,,,,"56",",,0","43",",,0","46",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-29",,,,,"61",",,0","42",",,0","49",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-30",,,,,"64",",,0","45",",,0","57",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-10-31",,,,,"58",",,0","51",",,0","51",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-01",,,,,"56",",,0","44",",,0","49",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-02",,,,,"65",",,0","43",",,0","58",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-03",,,,,"70",",,0","55",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-04",,,,,"70",",,0","54",",,0","54",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-05",,,,,"64",",,0","52",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-06",,,,,"61",",,0","46",",,0","46",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-07",,,,,"62",",,0","45",",,0","55",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-08",,,,,"63",",,0","53",",,0","63",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-09",,,,,"68",",,0","44",",,0","44",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-10",,,,,"49",",,0","37",",,0","42",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-11",,,,,"59",",,0","40",",,0","54",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-12",,,,,"65",",,0","49",",,0","61",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-13",,,,,"62",",,0","42",",,0","42",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-14",,,,,"49",",,0","41",",,0","44",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-15",,,,,"57",",,0","40",",,0","40",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-16",,,,,"40",",,0","23",",,0","23",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-17",,,,,"29",",,0","18",",,0","25",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-18",,,,,"39",",,0","25",",,0","39",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-19",,,,,"55",",,0","38",",,0","42",",,0,2400"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","41.8558","-87.6094","177.7","2005-11-20",,,,,"49",",,0","40",",,0","42",",,0,2400"
